Class|True Positive|False Positive|Accuracy
n02111500-Great_Pyrenees|30|1|96.7741935483871
n02111889-Samoyed|32|0|100.0
n02112018-Pomeranian|30|2|93.75
n02112137-chow|29|0|100.0
n02112350-keeshond|22|1|95.65217391304348
n02112706-Brabancon_griffon|20|2|90.9090909090909
n02113023-Pembroke|26|1|96.29629629629629
n02113186-Cardigan|21|2|91.30434782608695
n02113624-toy_poodle|18|4|81.81818181818183
n02113712-miniature_poodle|17|6|73.91304347826086
n02113799-standard_poodle|21|2|91.30434782608695
n02113978-Mexican_hairless|23|0|100.0
n02115641-dingo|18|5|78.26086956521739
n02115913-dhole|21|1|95.45454545454545
n02116738-African_hunting_dog|25|0|100.0
